序号,单位名称,合计项数,合计金额,数理科学部项数,数理科学部金额,化学科学部项数,化学科学部金额,生命科学部项数,生命科学部金额,地球科学部项数,地球科学部金额,工程与材料科学部项数,工程与材料科学部金额,信息科学部项数,信息科学部金额,管理科学部项数,管理科学部金额,医学科学部项数,医学科学部金额,科学学科项数,科学学科金额,工程管理学科项数,工程管理学科金额
76,中国科学院合肥物质科学研究院,56,3426,20,1290,7,459,2,119,7,398,8,483,6,335,0,0,6,342,42,2608,14,818
77,南京工业大学,55,3426,0,0,24,1558,1,59,4,246,22,1323,3,191,1,49,0,0,29,1863,26,1563
78,福州大学,55,3367.5,4,221,21,1374,1,60,4,242.5,15,901,6,368,3,144,1,57,31,1954.5,24,1413
79,武汉理工大学,56,3344,2,101,8,523,0,0,1,63,37,2206,4,249,3,146,1,56,12,743,44,2601
80,哈尔滨工程大学,55,3282,7,437,4,263,0,0,3,189,29,1730,9,518,3,145,0,0,14,889,41,2393
81,中国医科大学,58,3265,0,0,0,0,2,119,0,0,1,60,0,0,0,0,55,3086,57,3205,1,60
82,青岛大学,56,3254,4,218,2,129,7,418,1,62,10,598,4,260,0,0,28,1569,42,2396,14,858
83,北京林业大学,54,3215.5,0,0,1,65,40,2389,5,304.5,6,361,0,0,2,96,0,0,46,2758.5,8,457
84,中国石油大学（华东）,52,3190,1,55,8,519,2,118,12,771,23,1378,4,253,2,96,0,0,23,1463,29,1727
85,广州大学,53,3189.5,9,507,8,518,3,181,10,609.5,11,657,11,669,1,48,0,0,30,1815.5,23,1374
86,江南大学,53,3184,0,0,12,786,25,1459,0,0,4,234,6,379,2,94,4,232,41,2477,12,707
87,华南师范大学,53,3103.5,11,649,4,261,14,841,11,658.5,1,60,10,517,0,0,2,117,42,2526.5,11,577
88,西北大学,50,3036,8,459,11,716,11,657,9,561,3,179,4,239,0,0,4,225,43,2618,7,418
89,中国石油大学（北京）,49,3026,3,189,7,459,0,0,15,977,21,1257,0,0,3,144,0,0,25,1625,24,1401
90,中国药科大学,53,3015,0,0,4,261,3,183,0,0,0,0,0,0,1,42,45,2529,52,2973,1,42
91,温州医科大学,52,2912,0,0,1,63,7,408,0,0,0,0,2,79,0,0,42,2362,50,2833,2,79
92,山东农业大学,49,2892,0,0,0,0,45,2652,1,62,2,121,0,0,0,0,1,57,47,2771,2,121
93,宁波大学,49,2840,7,428,4,261,7,368,3,187,7,419,13,783,3,143,5,251,26,1495,23,1345
94,中国地质大学（北京）,44,2830,0,0,3,194,0,0,36,2330,4,246,1,60,0,0,0,0,39,2524,5,306
95,东北师范大学,47,2823,9,510,11,723,13,739,8,484,4,241,2,126,0,0,0,0,41,2456,6,367
96,北京邮电大学,48,2822,4,217,0,0,0,0,0,0,2,120,39,2341,3,144,0,0,4,217,44,2605
